primaryPosition,Player ID,firstName,lastName,nationality,height_cm,weight,shootsCatches
Left Wing,8471699,Andrew,Cogliano,CAN,177.8,177.0,L
Right Wing,8470621,Corey,Perry,CAN,190.5,213.0,R
Center,8477933,Sam,Reinhart,CAN,185.42,192.0,R
Defence,8470324,Josh,Gorges,CAN,185.42,204.0,L
Left Wing,8477941,Nick,Ritchie,CAN,187.96,234.0,L
Defence,8476312,Josh,Manson,CAN,190.5,213.0,R
Left Wing,8475169,Evander,Kane,CAN,187.96,212.0,L
Defence,8479268,Casey,Nelson,USA,185.42,185.0,R
Center,8475185,Jacob,Josefson,SWE,182.88,196.0,L
Right Wing,8475780,Chris,Wagner,USA,182.88,198.0,R
Right Wing,8475164,Jakob,Silfverberg,SWE,187.96,202.0,R
Defence,8473560,Korbinian,Holzer,DEU,190.5,214.0,R
Right Wing,8478131,Ondrej,Kase,CZE,182.88,185.0,R
Center,8476293,Scott,Wilson,CAN,180.34,183.0,L
Defence,8476470,Nathan,Beaulieu,CAN,187.96,200.0,L
Center,8470616,Ryan,Kesler,USA,187.96,202.0,R
Center,8468535,Antoine,Vermette,CAN,185.42,197.0,L
Right Wing,8469506,Jason,Pominville,USA,182.88,180.0,R
Defence,8467400,Francois,Beauchemin,CAN,180.34,208.0,L
Center,8475728,Johan,Larsson,SWE,180.34,198.0,L
Defence,8474618,Marco,Scandella,CAN,190.5,208.0,L
Goalie,8468011,Ryan,Miller,USA,190.5,173.0,L
Defence,8475764,Cam,Fowler,USA,185.42,215.0,L
Center,8470612,Ryan,Getzlaf,CAN,193.04,223.0,R
Defence,8477986,Brandon,Montour,CAN,182.88,192.0,R
Defence,8476854,Hampus,Lindholm,SWE,190.5,208.0,L
Center,8475325,Jordan,Nolan,CAN,190.5,219.0,L
Defence,8476931,Jake,McCabe,USA,185.42,210.0,L
Right Wing,8473449,Kyle,Okposo,USA,182.88,220.0,R
Center,8476878,Zemgus,Girgensons,LVA,187.96,207.0,L
Defence,8477499,Rasmus,Ristolainen,FIN,193.04,218.0,R
Defence,8479755,Victor,Antipin,RUS,180.34,175.0,L
Center,8474683,Derek,Grant,CAN,190.5,215.0,L
Center,8478403,Jack,Eichel,USA,187.96,206.0,R
Center,8474641,Adam,Henrique,CAN,182.88,195.0,L
Center,8475158,Ryan,O'Reilly,CAN,185.42,216.0,L
Defence,8473992,Justin,Falk,CAN,195.58,223.0,L
Center,8476483,Rickard,Rakell,SWE,187.96,198.0,R
Left Wing,8478542,Evan,Rodrigues,CAN,180.34,182.0,R
Defence,8469598,Kevin,Bieksa,CAN,185.42,197.0,R
Center,8473618,Mathieu,Perreault,CAN,177.8,188.0,L
Right Wing,8471218,Blake,Wheeler,USA,195.58,225.0,R
Defence,8470828,Toby,Enstrom,SWE,177.8,180.0,L
Right Wing,8462042,Jarome,Iginla,CAN,185.42,210.0,R
Center,8473412,Bryan,Little,CAN,182.88,191.0,R
Defence,8475759,Brandon,Gormley,CAN,187.96,196.0,L
Goalie,8473575,Semyon,Varlamov,RUS,187.96,209.0,L
Left Wing,8471657,Cody,McLeod,CAN,187.96,210.0,L
Left Wing,8471217,Andrew,Ladd,CAN,190.5,200.0,L
Right Wing,8476469,Joel,Armia,FIN,190.5,205.0,R
Defence,8474207,Nick,Holden,CAN,193.04,214.0,L
Defence,8474743,Zach,Redmond,USA,187.96,212.0,R
Center,8476888,Mikhail,Grigorenko,RUS,190.5,209.0,L
Left Wing,8471260,Blake,Comeau,CAN,185.42,202.0,R
Center,8475168,Matt,Duchene,CAN,180.34,195.0,L
Left Wing,8476455,Gabriel,Landeskog,SWE,185.42,215.0,L
Defence,8474574,Tyler,Myers,CAN,203.2,229.0,R
Defence,8474074,Paul,Postma,CAN,190.5,195.0,R
Left Wing,8477940,Nikolaj,Ehlers,DNK,182.88,172.0,L
Right Wing,8471681,Jack,Skille,USA,185.42,216.0,R
Defence,8471385,Adam,Pardy,CAN,193.04,227.0,L
Center,8471262,Carl,Soderberg,SWE,190.5,210.0,L
Center,8476392,Adam,Lowry,USA,195.58,210.0,L
Right Wing,8469501,Chris,Thorburn,CAN,190.5,235.0,R
Defence,8470317,Nate,Guenin,USA,190.5,207.0,R
Defence,8470614,Mark,Stuart,USA,187.96,215.0,L
Defence,8470834,Dustin,Byfuglien,USA,195.58,260.0,R
Defence,8473446,Erik,Johnson,USA,193.04,225.0,R
Center,8470750,John,Mitchell,CAN,185.42,204.0,L
Right Wing,8477902,Dennis,Everberg,SWE,193.04,205.0,L
Center,8477429,Andrew,Copp,USA,185.42,206.0,L
Goalie,8474636,Michael,Hutchinson,CAN,190.5,202.0,R
Center,8475788,Alexander,Burmistrov,RUS,185.42,180.0,L
Right Wing,8471226,Drew,Stafford,USA,187.96,214.0,R
Defence,8476885,Jacob,Trouba,USA,190.5,202.0,R
Defence,8475279,Ben,Chiarot,CAN,190.5,219.0,L
Center,8476460,Mark,Scheifele,CAN,190.5,207.0,R
Left Wing,8478561,Andreas,Martinsen,NOR,190.5,229.0,L
Defence,8475197,Tyson,Barrie,CAN,177.8,190.0,R
Center,8477492,Nathan,MacKinnon,CAN,182.88,205.0,R
Right Wing,8474061,Anthony,Peluso,CAN,190.5,225.0,R
Goalie,8471715,Ondrej,Pavelec,CZE,190.5,212.0,L
Center,8473533,Jordan,Staal,CAN,193.04,220.0,L
Goalie,8470320,Cam,Ward,CAN,185.42,185.0,L
Defence,8475753,Justin,Faulk,USA,182.88,215.0,R
Defence,8477488,Brett,Pesce,USA,190.5,200.0,R
Left Wing,8474052,Chris,Terry,CAN,177.8,191.0,L
Left Wing,8475784,Jeff,Skinner,CAN,180.34,200.0,L
Goalie,8475663,Eddie,Lack,SWE,193.04,187.0,L
Defence,8478396,Noah,Hanifin,USA,190.5,206.0,L
Defence,8468639,John-Michael,Liles,USA,177.8,185.0,L
Center,8471804,Nathan,Gerbe,USA,162.56,176.0,L
Center,8469508,Jay,McClement,CAN,185.42,205.0,L
Left Wing,8475807,Joakim,Nordstrom,SWE,185.42,189.0,L
Left Wing,8476858,Phillip,Di Giuseppe,CAN,182.88,200.0,L
Defence,8468493,Ron,Hainsey,USA,190.5,210.0,L
Defence,8476958,Jaccob,Slavin,USA,190.5,205.0,L
Center,8470595,Eric,Staal,CAN,193.04,208.0,L
Right Wing,8471346,Kris,Versteeg,CAN,180.34,176.0,R
Center,8476437,Victor,Rask,SWE,187.96,200.0,L
Defence,8474661,Michal,Jordan,CZE,185.42,195.0,L
Center,8474062,Riley,Nash,CAN,185.42,200.0,R
Center,8475250,Andrej,Nestrasil,CZE,190.5,200.0,L
Center,8474089,Brad,Malone,CAN,187.96,207.0,L
Center,8477496,Elias,Lindholm,SWE,185.42,192.0,R
Defence,8470966,Mark,Giordano,CAN,182.88,198.0,L
Defence,8474628,Michael,Stone,CAN,190.5,210.0,R
Defence,8474749,Matt,Bartkowski,USA,185.42,196.0,L
Center,8475878,Freddie,Hamilton,CAN,185.42,195.0,R
Defence,8476967,Brett,Kulak,CAN,187.96,187.0,L
Center,8477935,Sam,Bennett,CAN,185.42,200.0,L
Defence,8476407,Andy,Welinski,USA,185.42,206.0,R
Left Wing,8476971,Kevin,Roy,CAN,175.26,170.0,L
Defence,8474673,TJ,Brodie,CAN,185.42,182.0,L
Center,8476873,Mark,Jankowski,CAN,193.04,202.0,L
Center,8474150,Mikael,Backlund,SWE,185.42,199.0,L
Goalie,8476434,John,Gibson,USA,190.5,223.0,L
Right Wing,8448208,Jaromir,Jagr,CZE,190.5,230.0,L
Goalie,8469608,Mike,Smith,CAN,193.04,215.0,L
Left Wing,8475907,Micheal,Ferland,CAN,187.96,208.0,L
Right Wing,8477903,Garnet,Hathaway,USA,187.96,208.0,R
Center,8477508,Curtis,Lazar,CAN,182.88,209.0,R
Right Wing,8473564,Michael,Frolik,CZE,185.42,194.0,L
Right Wing,8471426,Troy,Brouwer,CAN,190.5,215.0,R
Defence,8474612,Travis,Hamonic,CAN,187.96,205.0,R
Right Wing,8476400,Logan,Shaw,CAN,190.5,208.0,R
Left Wing,8476346,Johnny,Gaudreau,USA,175.26,157.0,L
Left Wing,8479314,Matthew,Tkachuk,USA,187.96,202.0,L
Center,8477497,Sean,Monahan,CAN,190.5,195.0,L
Defence,8476462,Dougie,Hamilton,CAN,198.12,210.0,R
Center,8470162,Matt,Stajan,CAN,185.42,195.0,L
Center,8476808,Brian,Flynn,USA,185.42,183.0,R
Left Wing,8471476,Daniel,Winnik,CAN,187.96,210.0,L
Right Wing,8476769,Bobby,Farnham,USA,177.8,190.0,L
Right Wing,8477957,Nikita,Scherbak,RUS,187.96,192.0,L
Center,8471338,Torrey,Mitchell,CAN,180.34,186.0,R
Goalie,8471679,Carey,Price,CAN,190.5,215.0,L
Left Wing,8471214,Alex,Ovechkin,RUS,190.5,235.0,R
Right Wing,8471698,T.J.,Oshie,USA,180.34,195.0,R
Defence,8470642,Shea,Weber,CAN,193.04,230.0,R
Center,8474008,Paul,Carey,USA,185.42,200.0,L
Defence,8471710,Taylor,Chorney,USA,182.88,193.0,L
Left Wing,8477444,Andre,Burakovsky,SWE,190.5,201.0,L
Defence,8475200,Dmitry,Orlov,RUS,180.34,212.0,L
Goalie,8474651,Braden,Holtby,CAN,187.96,211.0,L
Right Wing,8477446,Michael,McCarron,USA,198.12,230.0,R
Center,8473563,Nicklas,Backstrom,SWE,185.42,210.0,L
Defence,8474590,John,Carlson,USA,190.5,218.0,R
Defence,8477220,Nate,Schmidt,USA,185.42,194.0,L
Left Wing,8474157,Max,Pacioretty,USA,187.96,206.0,L
Center,8469521,Tomas,Plekanec,CZE,180.34,193.0,L
Center,8474291,Jay,Beagle,CAN,190.5,218.0,R
Defence,8471702,Matt,Niskanen,USA,185.42,203.0,R
Defence,8473507,Jeff,Petry,USA,190.5,208.0,R
Defence,8468498,Brooks,Orpik,USA,190.5,217.0,L
Defence,8474717,Mark,Barberio,CAN,185.42,207.0,L
Left Wing,8474038,Paul,Byron,CAN,175.26,162.0,L
Center,8476479,Phillip,Danault,CAN,185.42,195.0,L
Left Wing,8475149,Marcus,Johansson,SWE,185.42,205.0,L
Right Wing,8471228,Alexander,Radulov,RUS,185.42,201.0,L
Center,8475744,Evgeny,Kuznetsov,RUS,187.96,204.0,L
Left Wing,8477901,Daniel,Carr,CAN,182.88,193.0,L
Left Wing,8477476,Artturi,Lehkonen,FIN,182.88,183.0,L
Right Wing,8477413,Sven,Andrighetto,CHE,177.8,188.0,L
Defence,8478963,Ryan,Johnston,CAN,177.8,180.0,R
Defence,8471296,Alexei,Emelin,RUS,187.96,218.0,L
Center,8474189,Lars,Eller,DNK,187.96,207.0,L
Defence,8473991,Karl,Alzner,CAN,190.5,217.0,L
Right Wing,8476880,Tom,Wilson,CAN,193.04,218.0,R
Right Wing,8475792,Brett,Connolly,CAN,190.5,195.0,R
Right Wing,8468508,Justin,Williams,CAN,185.42,188.0,R
Center,8477070,Liam,O'Brien,CAN,185.42,215.0,L
Center,8470604,Jeff,Carter,CAN,190.5,217.0,R
Defence,8470602,Dion,Phaneuf,CAN,190.5,219.0,L
Left Wing,8470207,Joffrey,Lupul,CAN,185.42,211.0,R
Right Wing,8470606,Dustin,Brown,USA,182.88,216.0,R
Center,8476406,Nick,Shore,USA,185.42,201.0,R
Right Wing,8468483,Marian,Gaborik,SVK,185.42,205.0,L
Defence,8475716,Martin,Marincin,SVK,193.04,210.0,L
Defence,8471436,Matt,Hunwick,USA,180.34,200.0,L
Goalie,8471734,Jonathan,Quick,USA,185.42,218.0,L
Left Wing,8476404,Andy,Andreoff,CAN,185.42,210.0,L
Defence,8474568,Luke,Schenn,CAN,187.96,229.0,R
Defence,8475188,Brayden,McNabb,CAN,193.04,212.0,L
Left Wing,8476871,Tanner,Pearson,CAN,185.42,204.0,L
Center,8473463,Leo,Komarov,FIN,180.34,210.0,L
Left Wing,8476352,Michael,Mersch,USA,187.96,213.0,L
Center,8475180,Peter,Holland,CAN,187.96,205.0,L
Center,8467329,Vincent,Lecavalier,CAN,193.04,215.0,L
Right Wing,8469707,PA,Parenteau,CAN,182.88,200.0,R
Center,8471685,Anze,Kopitar,SVN,190.5,224.0,L
Center,8475726,Tyler,Toffoli,CAN,182.88,201.0,R
Left Wing,8474037,James,van Riemsdyk,USA,190.5,210.0,L
Defence,8476853,Morgan,Rielly,CAN,185.42,215.0,L
Goalie,8473503,James,Reimer,CAN,187.96,217.0,L
Right Wing,8473546,Michael,Grabner,AUT,185.42,188.0,L
Goalie,8477312,Antoine,Bibeau,CAN,190.5,205.0,L
Defence,8471392,Roman,Polak,CZE,187.96,235.0,R
Center,8475278,Byron,Froese,CAN,185.42,202.0,R
Defence,8474162,Jake,Muzzin,CAN,190.5,216.0,L
Defence,8474563,Drew,Doughty,CAN,185.42,195.0,R
Defence,8476302,Frank,Corrado,CAN,182.88,205.0,R
Left Wing,8473574,Shawn,Matthias,CAN,193.04,231.0,L
Center,8473453,Trevor,Lewis,USA,185.42,201.0,R
Center,8475098,Tyler,Bozak,CAN,185.42,195.0,R
Defence,8474581,Jake,Gardiner,USA,187.96,200.0,L
Left Wing,8473473,Milan,Lucic,CAN,190.5,236.0,L
Defence,8474166,Alec,Martinez,USA,185.42,212.0,L
Left Wing,8474100,Dwight,King,CAN,193.04,229.0,L
Defence,8473571,Jamie,McBain,USA,185.42,180.0,R
Right Wing,8476062,Mark,Arcobello,USA,172.72,174.0,R
Center,8475172,Nazem,Kadri,CAN,182.88,195.0,L
Defence,8469555,Christian,Ehrhoff,DEU,187.96,201.0,L
Right Wing,8468504,Brad,Boyes,CAN,182.88,199.0,R
Center,8467876,Henrik,Sedin,SWE,187.96,183.0,L
Left Wing,8467875,Daniel,Sedin,SWE,185.42,190.0,L
Goalie,8473499,Reto,Berra,CHE,193.04,218.0,L
Right Wing,8473432,Derek,Dorsett,CAN,182.88,192.0,R
Right Wing,8477937,Jake,Virtanen,CAN,185.42,229.0,R
Defence,8474605,Patrick,Wiercioch,CAN,195.58,202.0,L
Defence,8477018,Ben,Hutton,CAN,187.96,207.0,L
Defence,8473415,Alex,Biega,CAN,177.8,193.0,R
Center,8476867,Brendan,Gaunce,CAN,187.96,217.0,L
Defence,8475222,Sami,Vatanen,FIN,177.8,185.0,R
Center,8477500,Bo,Horvat,CAN,182.88,223.0,L
Goalie,8474593,Jacob,Markstrom,SWE,198.12,196.0,L
Center,8474091,Brandon,Sutter,CAN,190.5,191.0,R
Left Wing,8470598,Thomas,Vanek,AUT,187.96,214.0,R
Defence,8471303,Alexander,Edler,SWE,190.5,214.0,L
Defence,8474584,Michael,Del Zotto,CAN,182.88,195.0,L
Right Wing,8478444,Brock,Boeser,USA,185.42,191.0,R
Defence,8476884,Derrick,Pouliot,CAN,182.88,208.0,L
Left Wing,8476466,Sven,Baertschi,CHE,180.34,192.0,L
Center,8474040,Sam,Gagner,CAN,180.34,200.0,R
Center,8476423,Reid,Boucher,USA,177.8,195.0,L
Defence,8475790,Erik,Gudbranson,CAN,195.58,220.0,R
Center,8476440,Markus,Granlund,FIN,182.88,183.0,L
Defence,8477034,Jaycob,Megna,USA,198.12,219.0,L
Center,8479290,Kalle,Kossila,FIN,177.8,185.0,L
Center,8474569,Colin,Wilson,USA,185.42,221.0,L
Defence,8478906,Markus,Nutivaara,FIN,185.42,191.0,L
Defence,8476449,Scott,Harrington,CAN,187.96,207.0,L
Defence,8471677,Jack,Johnson,USA,185.42,227.0,L
Right Wing,8477416,Oliver,Bjorkstrand,DNK,182.88,177.0,R
Center,8476310,Lukas,Sedlak,CZE,182.88,205.0,L
Goalie,8475683,Sergei,Bobrovsky,RUS,187.96,182.0,L
Center,8476432,Boone,Jenner,CAN,187.96,206.0,L
Left Wing,8475147,Jordan,Schroeder,USA,175.26,170.0,R
Left Wing,8475268,Gabriel,Bourque,CAN,177.8,206.0,L
Goalie,8473541,Jonathan,Bernier,CAN,182.88,184.0,L
Center,8479400,Pierre-Luc,Dubois,CAN,190.5,207.0,L
Center,8477021,Alexander,Kerfoot,CAN,177.8,175.0,L
Defence,8478073,Anton,Lindholm,SWE,180.34,191.0,L
Left Wing,8477947,Sonny,Milano,USA,182.88,195.0,L
Defence,8477507,Nikita,Zadorov,RUS,195.58,230.0,L
Defence,8475747,Patrik,Nemeth,SWE,190.5,219.0,L
Left Wing,8473422,Nick,Foligno,USA,182.88,202.0,L
Center,8474610,Zac,Dalpe,CAN,187.96,194.0,R
Right Wing,8476855,Nail,Yakupov,RUS,180.34,195.0,L
Right Wing,8476981,Josh,Anderson,CAN,190.5,221.0,R
Left Wing,8476442,Matt,Nieto,USA,180.34,190.0,L
Defence,8475233,David,Savard,CAN,187.96,227.0,R
Left Wing,8474685,Matt,Calvert,CAN,180.34,186.0,L
Defence,8478567,Dean,Kukan,CHE,187.96,186.0,L
Defence,8478842,Andrei,Mironov,RUS,190.5,194.0,L
Defence,8477495,Seth,Jones,USA,193.04,210.0,R
Left Wing,8478421,A.J.,Greer,CAN,190.5,204.0,L
Left Wing,8478541,Markus,Hannikainen,FIN,185.42,200.0,L
Defence,8479398,Samuel,Girard,CAN,177.8,162.0,L
Right Wing,8478420,Mikko,Rantanen,FIN,193.04,211.0,L
Defence,8478460,Zach,Werenski,USA,187.96,209.0,L
Center,8479370,Tyson,Jost,CAN,180.34,191.0,L
Center,8473914,Mark,Letestu,CAN,177.8,195.0,R
Defence,8471816,Mark,Fayne,USA,190.5,209.0,R
Defence,8467452,Rob,Scuderi,USA,185.42,216.0,L
Defence,8474602,Justin,Schultz,CAN,187.96,193.0,R
Center,8471675,Sidney,Crosby,CAN,180.34,200.0,L
Left Wing,8471232,Lauri,Korpikoski,FIN,185.42,193.0,L
Left Wing,8478928,Sergei,Plotnikov,RUS,187.96,202.0,L
Goalie,8473553,Jeff,Zatkoff,USA,187.96,186.0,L
Defence,8473933,Ben,Lovejoy,USA,185.42,205.0,R
Center,8477934,Leon,Draisaitl,DEU,187.96,215.0,L
Center,8474009,Nick,Bonino,USA,185.42,196.0,L
Left Wing,8470543,Chris,Kunitz,CAN,182.88,195.0,L
Center,8471215,Evgeni,Malkin,RUS,190.5,195.0,L
Defence,8476431,Adam,Clendening,USA,182.88,196.0,R
Center,8476454,Ryan,Nugent-Hopkins,CAN,182.88,191.0,L
Right Wing,8475761,Beau,Bennett,USA,187.96,195.0,R
Defence,8476874,Olli,Maatta,FIN,187.96,206.0,L
Defence,8476472,Oscar,Klefbom,SWE,190.5,215.0,L
Defence,8474013,Ian,Cole,USA,185.42,219.0,L
Defence,8471284,Andrej,Sekera,SVK,182.88,200.0,L
Center,8475165,Anton,Lander,SWE,182.88,184.0,L
Center,8468611,Matt,Hendricks,USA,182.88,209.0,L
Defence,8466333,Andrew,Ference,CAN,180.34,182.0,L
Defence,8471724,Kris,Letang,CAN,182.88,201.0,R
Defence,8473468,Eric,Gryba,CAN,193.04,222.0,R
Right Wing,8466393,Pascal,Dupuis,CAN,185.42,205.0,L
Left Wing,8473962,Teddy,Purcell,CAN,187.96,195.0,R
Defence,8475208,Brian,Dumoulin,USA,193.04,207.0,L
Defence,8475869,Brandon,Davidson,CAN,187.96,208.0,L
Left Wing,8476915,Jujhar,Khaira,CAN,193.04,214.0,L
Right Wing,8476336,Iiro,Pakarinen,FIN,185.42,212.0,R
Left Wing,8473989,Luke,Gazdic,CAN,193.04,225.0,L
Center,8470611,Eric,Fehr,CAN,193.04,208.0,R
Right Wing,8471887,Patric,Hornqvist,SWE,180.34,189.0,R
Right Wing,8473548,Phil,Kessel,USA,182.88,202.0,R
Defence,8474660,David,Warsofsky,USA,175.26,170.0,L
Defence,8477498,Darnell,Nurse,CAN,193.04,221.0,L
Right Wing,8478466,Daniel,Sprong,NLD,182.88,180.0,R
Center,8474586,Jordan,Eberle,CAN,180.34,187.0,R
Goalie,8475195,Anders,Nilsson,SWE,198.12,229.0,L
Left Wing,8474102,David,Perron,CAN,182.88,200.0,R
Left Wing,8475791,Taylor,Hall,CAN,185.42,205.0,L
Center,8464989,Matt,Cullen,USA,185.42,202.0,L
Left Wing,8474849,Antoine,Roussel,FRA,180.34,195.0,L
Goalie,8476945,Connor,Hellebuyck,USA,193.04,207.0,L
Defence,8476902,Esa,Lindell,FIN,190.5,213.0,L
Left Wing,8473994,Jamie,Benn,CAN,187.96,209.0,L
Defence,8470760,Marc,Methot,CAN,193.04,233.0,L
Goalie,8471750,Ben,Bishop,USA,200.66,225.0,L
Right Wing,8479339,Patrik,Laine,FIN,195.58,206.0,R
Defence,8474688,Greg,Pateryn,USA,190.5,224.0,R
Center,8476966,Gemel,Smith,CAN,177.8,190.0,L
Center,8476889,Radek,Faksa,CZE,190.5,216.0,L
Left Wing,8477962,Brendan,Lemieux,USA,185.42,210.0,L
Left Wing,8477461,Remi,Elie,CAN,185.42,210.0,L
Left Wing,8478398,Kyle,Connor,USA,185.42,182.0,L
Defence,8469465,Dan,Hamhuis,CAN,185.42,204.0,L
Defence,8475906,John,Klingberg,SWE,187.96,177.0,R
Center,8476913,Devin,Shore,CAN,182.88,205.0,L
Center,8477448,Marko,Dano,SVK,180.34,212.0,L
Center,8477406,Mattias,Janmark,SWE,185.42,196.0,L
Defence,8477504,Josh,Morrissey,CAN,182.88,195.0,L
Center,8475794,Tyler,Seguin,CAN,185.42,201.0,R
Defence,8475179,Dmitry,Kulikov,RUS,185.42,204.0,L
Defence,8476467,Jamie,Oleksiak,CAN,200.66,255.0,L
Defence,8475730,Stephen,Johns,USA,193.04,221.0,R
Center,8475752,Tyler,Pitlick,USA,187.96,200.0,R
Center,8477450,Jason,Dickinson,CAN,187.96,205.0,L
Center,8471691,Martin,Hanzal,CZE,198.12,230.0,L
Center,8469455,Jason,Spezza,CAN,190.5,214.0,R
Left Wing,8479293,Brandon,Tanev,CAN,182.88,180.0,L
Goalie,8470860,Jaroslav,Halak,SVK,180.34,183.0,L
Defence,8476429,Scott,Mayfield,USA,193.04,227.0,R
Defence,8475857,Kevin,Gravel,USA,193.04,212.0,L
Defence,8470187,Johnny,Boychuk,CAN,187.96,227.0,R
Defence,8470121,Matt,Greene,USA,190.5,236.0,R
Center,8476409,Alan,Quine,CAN,182.88,203.0,L
Left Wing,8475314,Anders,Lee,USA,190.5,231.0,L
Center,8475754,Brock,Nelson,USA,190.5,212.0,L
Left Wing,8473579,Nikolay,Kulemin,RUS,185.42,228.0,L
Defence,8470104,Tom,Gilbert,USA,187.96,210.0,R
Center,8475166,John,Tavares,CAN,185.42,208.0,L
Right Wing,8474573,Josh,Bailey,CAN,185.42,203.0,L
Center,8475343,Nic,Dowd,USA,187.96,197.0,R
Defence,8475762,Derek,Forbort,USA,193.04,215.0,L
Right Wing,8471682,Devin,Setoguchi,CAN,182.88,205.0,R
Defence,8475181,Nick,Leddy,USA,182.88,204.0,L
Left Wing,8475160,Kyle,Clifford,CAN,187.96,211.0,L
Goalie,8471306,Thomas,Greiss,DEU,185.42,227.0,L
Defence,8476917,Adam,Pelech,CAN,190.5,217.0,L
Left Wing,8466251,Jason,Chimera,CAN,190.5,215.0,L
Center,8476458,Ryan,Strome,CAN,185.42,194.0,R
Right Wing,8473504,Cal,Clutterbuck,CAN,180.34,216.0,R
Defence,8475177,Calvin,de Haan,CAN,185.42,198.0,L
Center,8478463,Anthony,Beauvillier,CAN,180.34,182.0,L
Left Wing,8476386,Shane,Prince,USA,180.34,193.0,L
Defence,8474066,Thomas,Hickey,CAN,182.88,188.0,L
Center,8475231,Casey,Cizikas,CAN,180.34,200.0,L
Goalie,8469514,Peter,Budaj,SVK,185.42,196.0,L
Defence,8469619,Dennis,Seidenberg,DEU,182.88,199.0,L
Left Wing,8477936,Michael,Dal Colle,CAN,190.5,204.0,L
Right Wing,8476326,Josh,Archibald,CAN,177.8,176.0,R
Left Wing,8476921,Jordan,Martinook,CAN,182.88,204.0,L
Center,8479206,Tanner,Fritz,CAN,180.34,192.0,R
Center,8476356,Tobias,Rieder,DEU,180.34,188.0,L
Defence,8475246,Kevin,Connauton,CAN,187.96,205.0,L
Defence,8479345,Jakob,Chychrun,USA,187.96,210.0,L
Right Wing,8478432,Christian,Fischer,USA,187.96,214.0,R
Center,8479343,Clayton,Keller,USA,177.8,170.0,L
Defence,8480222,Sebastian,Aho,SWE,177.8,170.0,L
Center,8474613,Derek,Stepan,USA,182.88,196.0,R
Defence,8477506,Ryan,Pulock,CAN,187.96,214.0,R
Center,8474736,Zac,Rinaldo,CAN,177.8,192.0,L
Left Wing,8477943,Brendan,Perlini,GBR,190.5,211.0,L
